,idx,reward_sum,n_steps,reason
0,0,-22.515507493750192,299,OOT
1,1,-5.820280643180013,104,OOB
2,2,-6.074659693520516,109,OOB
3,3,110.86337785446085,89,HOME
4,4,-2.896870767697692,44,OOB
5,5,-2.7744342361111194,49,OOB
6,6,-2.8197382946964353,44,OOB
7,7,-3.0423538303002715,42,OOB
8,8,-3.1837648302316666,40,OOB
9,9,-3.411586318165064,40,OOB
10,10,-2.9918229441391304,45,OOB
11,11,-3.3044865462579764,45,OOB
12,12,-3.3546460203942843,48,OOB
13,13,-3.503711180877872,41,OOB
14,14,-3.5227074187714607,39,OOB
15,15,109.7793870086316,75,HOME
16,16,109.8769048275426,75,HOME
17,17,-2.6901443200185895,56,OOB
18,18,-2.9916385896503925,53,OOB
19,19,-3.1571473255753517,50,OOB
20,20,110.06635377032217,74,HOME
21,21,109.72964995587245,79,HOME
22,22,109.97336240648292,77,HOME
23,23,109.97949091473129,78,HOME
24,24,-2.5309421811252832,72,OOB
25,25,110.29252671450377,73,HOME
26,26,110.06301480520051,76,HOME
27,27,110.07860984886065,75,HOME
28,28,110.05221083550714,75,HOME
29,29,-2.6642897208221257,116,OOB
30,30,110.30570759461261,78,HOME
31,31,110.5385752110742,73,HOME
32,32,110.44320962810889,77,HOME
33,33,110.0725721330382,76,HOME
34,34,110.26724181743339,79,HOME
35,35,-4.38503672555089,71,OOB
36,36,-3.2700559348450042,155,OOB
37,37,-3.1609286908060312,143,OOB
38,38,110.8447609723662,86,HOME
39,39,110.03545776891406,88,HOME
40,40,-4.523410529116518,93,OOB
41,41,-4.375198402674869,87,OOB
42,42,-4.532804556190968,86,OOB
43,43,-3.199231965467334,78,OOB
44,44,-2.953720262274146,61,OOB
45,45,-2.5851388934534043,67,OOB
46,46,-2.529727834975347,55,OOB
47,47,-2.5832258933223784,57,OOB
48,48,-2.808542874408886,51,OOB
49,49,-2.8653432857245207,47,OOB
50,50,-2.4429449583403766,64,OOB
51,51,-2.678528534946963,63,OOB
52,52,-2.5727629783832526,57,OOB
53,53,-2.6243478774558753,50,OOB
54,54,-2.7436993170995265,56,OOB
55,55,-2.4742153586703353,73,OOB
56,56,-2.613096891902387,66,OOB
57,57,-2.86615311447531,75,OOB
58,58,-2.9272716236300766,71,OOB
59,59,-2.9970193952322006,72,OOB
60,60,-4.8307995540089905,91,OOB
61,61,-4.633321950917889,89,OOB
62,62,-4.148074003634974,91,OOB
63,63,-4.5542131890542805,92,OOB
64,64,-4.877094984636642,85,OOB
65,65,-4.290103931169142,94,OOB
66,66,-3.037771466304548,126,OOB
67,67,110.55057808733545,76,HOME
68,68,110.5567063541821,75,HOME
69,69,110.74466242524795,78,HOME
70,70,-4.2527851071208715,47,OOB
71,71,-4.442978721112013,72,OOB
72,72,110.78707239078358,80,HOME
73,73,110.9017193646796,79,HOME
74,74,-4.0679002441465855,183,OOB
75,75,-3.7721996856853366,89,OOB
76,76,-5.827088522550184,121,OOB
77,77,-4.254049170296639,107,OOB
78,78,-3.383406549692154,109,OOB
79,79,110.61969940154813,94,HOME
80,80,-4.013432735577226,45,OOB
81,81,-4.109734843950719,44,OOB
82,82,-4.2733093039132655,45,OOB
83,83,-4.262280311435461,44,OOB
84,84,-4.35752223059535,43,OOB
85,85,-4.0134650590480305,44,OOB
86,86,-3.976469677174464,44,OOB
87,87,-3.962131530046463,44,OOB
88,88,-4.194556774571538,44,OOB
89,89,-4.234516490250826,42,OOB
90,90,-3.676269232935738,44,OOB
91,91,-3.826528229692485,44,OOB
92,92,-3.7562022076454014,45,OOB
93,93,-3.8533741973806173,49,OOB
94,94,-4.109586171805859,46,OOB
95,95,-3.5513113448396325,49,OOB
96,96,-3.249588700477034,56,OOB
97,97,-3.6220922181382775,51,OOB
98,98,-3.084403047338128,55,OOB
99,99,-3.321911795064807,61,OOB
100,100,-3.049645733088255,61,OOB
101,101,-2.3133634934201837,87,OOB
102,102,-2.8682796652428806,60,OOB
103,103,-2.9137909915298223,80,OOB
104,104,111.07973146624863,115,HOME
105,105,-2.8892275211401284,187,OOB
106,106,112.0731308455579,109,HOME
107,107,111.81628064066172,111,HOME
108,108,111.68259803205729,114,HOME
109,109,-4.3644949700683355,220,OOB
110,110,-5.244550515722949,79,OOB
111,111,112.14507726300508,114,HOME
112,112,-3.617340018390678,216,OOB
113,113,-3.473511025455082,220,OOB
114,114,111.99891864869278,113,HOME
115,115,-6.259074395522475,74,OOB
116,116,-3.81179664877709,135,OOB
117,117,-2.8638675906695426,138,OOB
118,118,-4.638840148225427,54,OOB
119,119,-4.663370447233319,58,OOB
120,120,-3.76747775869444,54,OOB
121,121,-4.085646749008447,51,OOB
122,122,-4.036778117995709,51,OOB
123,123,-4.075985855888575,49,OOB
124,124,-4.176202207803726,41,OOB
125,125,-3.756362705724314,42,OOB
126,126,-3.7605687483446673,44,OOB
127,127,-3.60750748810824,46,OOB
128,128,-3.9777541311923414,45,OOB
129,129,-4.0332398395985365,41,OOB
130,130,-3.629014788486529,47,OOB
131,131,-3.6015258961124346,47,OOB
132,132,-3.651132015627809,45,OOB
133,133,-3.507210981566459,55,OOB
134,134,-3.8236106808762997,59,OOB
135,135,-3.451328810537234,75,OOB
136,136,-3.440051825484261,75,OOB
137,137,-3.4587935945019126,72,OOB
138,138,-3.0138424932956696,77,OOB
139,139,-2.98547737672925,87,OOB
140,140,-3.483820606023073,103,OOB
141,141,-4.789950490150659,105,OOB
142,142,-3.2070948886685073,102,OOB
143,143,-2.983277853578329,101,OOB
144,144,-4.386450611054897,112,OOB
145,145,-3.8419402670115232,114,OOB
146,146,111.66052897437476,110,HOME
147,147,111.788036472346,114,HOME
148,148,-2.7823851578868926,189,OOB
149,149,-3.065827832557261,192,OOB
150,150,-4.010881848749705,117,OOB
151,151,-3.636472928803414,120,OOB
152,152,111.81845155078918,115,HOME
153,153,-2.817281970754266,193,OOB
154,154,111.78008538251743,114,HOME
155,155,-6.233048595488071,65,OOB
156,156,-5.927300311916042,77,OOB
157,157,-3.107652182225138,129,OOB
158,158,-2.823705472284928,132,OOB
159,159,-5.897556253476068,127,OOB
160,160,-5.265587380155921,43,OOB
161,161,-5.125802180264145,43,OOB
162,162,-5.1029504290781915,44,OOB
163,163,-5.487587971612811,44,OOB
164,164,-5.495480183511972,42,OOB
165,165,-5.098598092328757,45,OOB
166,166,-5.091160426090937,42,OOB
167,167,-4.984689975972287,41,OOB
168,168,-5.042381448904052,41,OOB
169,169,-5.257810905575752,40,OOB
170,170,-4.871342557853495,42,OOB
171,171,-4.848528434638865,43,OOB
172,172,-4.768249519169331,46,OOB
173,173,-4.749654305167496,45,OOB
174,174,-5.118120536673814,47,OOB
175,175,-4.239035251084715,51,OOB
176,176,-4.256048960611224,51,OOB
177,177,-4.575891830027103,51,OOB
178,178,-4.382440941408277,53,OOB
179,179,-4.137902785092592,59,OOB
180,180,-3.8563186153769493,61,OOB
181,181,-3.7696106482762843,61,OOB
182,182,-3.7274330565705895,61,OOB
183,183,-2.8910915348678827,84,OOB
184,184,-4.421598795801401,140,OOB
185,185,-2.7693718280643225,99,OOB
186,186,-1.4409685311838984,150,OOB
187,187,-3.7559210776817054,229,OOB
188,188,-2.173086842056364,227,OOB
189,189,-1.8106531398370862,150,OOB
190,190,-6.596213944256306,77,OOB
191,191,-1.3996009033871815,149,OOB
192,192,-1.5098784207366407,153,OOB
193,193,112.46084063360468,152,HOME
194,194,-1.425097689323593,151,OOB
195,195,-7.580700499936938,74,OOB
196,196,-3.3328680214472115,139,OOB
197,197,-2.314492498029722,158,OOB
198,198,-2.1347850100137293,162,OOB
199,199,-5.880914836656302,55,OOB
200,200,-4.931678269524127,59,OOB
201,201,-5.230817046016455,48,OOB
202,202,-5.151567062595859,48,OOB
203,203,-5.251359964488074,44,OOB
204,204,-5.335024942178279,41,OOB
205,205,-4.967571038287133,52,OOB
206,206,-4.969858552474761,44,OOB
207,207,-4.86464719142532,47,OOB
208,208,-5.0832576784305274,43,OOB
209,209,-5.142621826147661,43,OOB
210,210,-4.737925588880898,50,OOB
211,211,-4.7081506153335795,47,OOB
212,212,-4.798103851731867,45,OOB
213,213,-4.4470041210297495,51,OOB
214,214,-4.609732391312718,54,OOB
215,215,-4.385482998099178,59,OOB
216,216,-4.3241007786709815,57,OOB
217,217,-4.186220509931445,62,OOB
218,218,-4.306126734241843,67,OOB
219,219,-3.920043645426631,75,OOB
220,220,-3.6198370195925236,99,OOB
221,221,-3.404772587120533,97,OOB
222,222,-3.4208020865917206,114,OOB
223,223,-3.246956625021994,111,OOB
224,224,-2.8922000834718347,126,OOB
225,225,-2.5507786739617586,131,OOB
226,226,-3.0865555070340633,139,OOB
227,227,-1.8174688536673784,145,OOB
228,228,112.35520053989603,147,HOME
229,229,-3.170251984614879,136,OOB
230,230,-5.977146771503612,50,OOB
231,231,-2.3170974515378475,133,OOB
232,232,-2.9207627257565036,141,OOB
233,233,-2.472461413068231,142,OOB
234,234,-3.0884004866238683,138,OOB
235,235,-5.36339711304754,81,OOB
236,236,-5.253899874165654,62,OOB
237,237,-2.035374883096665,147,OOB
238,238,-1.4977597895194776,147,OOB
239,239,-2.0111903119832277,147,OOB
