Update 63/488, T 131072, FPS 177, 50-training-episode: mean/median 25.2/84.1, min/max -56.1/102.6
Update 64/488, T 133120, FPS 177, 50-training-episode: mean/median 25.3/88.0, min/max -58.3/101.8
Update 65/488, T 135168, FPS 177, 50-training-episode: mean/median 19.8/-44.2, min/max -58.3/101.8
Update 66/488, T 137216, FPS 177, 50-training-episode: mean/median 29.3/90.0, min/max -57.7/103.6
Update 67/488, T 139264, FPS 177, 50-training-episode: mean/median 21.2/-42.3, min/max -58.1/104.5
Update 68/488, T 141312, FPS 177, 50-training-episode: mean/median 9.0/-47.2, min/max -58.1/104.5
Update 69/488, T 143360, FPS 177, 50-training-episode: mean/median 20.3/-42.7, min/max -55.6/103.1
Update 70/488, T 145408, FPS 176, 50-training-episode: mean/median 20.5/-42.3, min/max -59.7/104.3
Update 71/488, T 147456, FPS 176, 50-training-episode: mean/median -0.5/-47.9, min/max -59.7/104.3
Update 72/488, T 149504, FPS 176, 50-training-episode: mean/median -5.5/-48.1, min/max -57.1/103.9
Update 73/488, T 151552, FPS 176, 50-training-episode: mean/median 9.5/-46.8, min/max -61.7/103.9
Update 74/488, T 153600, FPS 176, 50-training-episode: mean/median 18.1/-46.1, min/max -56.1/105.1
Update 75/488, T 155648, FPS 176, 50-training-episode: mean/median 10.9/-49.3, min/max -58.7/105.1
Update 76/488, T 157696, FPS 176, 50-training-episode: mean/median 10.6/-47.1, min/max -60.2/104.1
Update 77/488, T 159744, FPS 176, 50-training-episode: mean/median 14.4/-47.0, min/max -60.2/104.5
Update 78/488, T 161792, FPS 176, 50-training-episode: mean/median 19.5/-47.1, min/max -67.2/104.8
Update 79/488, T 163840, FPS 176, 50-training-episode: mean/median 25.7/85.4, min/max -67.2/109.4
Update 80/488, T 165888, FPS 176, 50-training-episode: mean/median 20.2/-42.3, min/max -58.6/109.4
Update 81/488, T 167936, FPS 176, 50-training-episode: mean/median 24.1/24.3, min/max -57.7/107.1
Update 82/488, T 169984, FPS 176, 50-training-episode: mean/median 17.9/-42.1, min/max -59.2/105.4
Update 83/488, T 172032, FPS 176, 50-training-episode: mean/median 28.0/90.6, min/max -68.2/104.1
Update 84/488, T 174080, FPS 176, 50-training-episode: mean/median 24.3/90.6, min/max -73.8/104.1
Update 85/488, T 176128, FPS 176, 50-training-episode: mean/median 13.0/-48.3, min/max -73.8/107.1
Update 86/488, T 178176, FPS 176, 50-training-episode: mean/median 23.2/21.5, min/max -64.4/107.1
Update 87/488, T 180224, FPS 176, 50-training-episode: mean/median 16.9/-44.9, min/max -67.8/103.3
Update 88/488, T 182272, FPS 175, 50-training-episode: mean/median 16.5/-44.8, min/max -67.8/104.0
Update 89/488, T 184320, FPS 175, 50-training-episode: mean/median 28.5/89.2, min/max -62.7/104.0
Update 90/488, T 186368, FPS 175, 50-training-episode: mean/median 22.6/19.7, min/max -59.8/102.7
Update 91/488, T 188416, FPS 175, 50-training-episode: mean/median 13.9/-45.0, min/max -69.6/104.5
Update 92/488, T 190464, FPS 175, 50-training-episode: mean/median 14.2/-45.1, min/max -62.4/104.5
Update 93/488, T 192512, FPS 175, 50-training-episode: mean/median 23.3/22.5, min/max -59.6/103.4
Update 94/488, T 194560, FPS 175, 50-training-episode: mean/median 33.1/91.2, min/max -57.2/104.8
Update 95/488, T 196608, FPS 175, 50-training-episode: mean/median 30.0/88.4, min/max -58.3/108.9
Update 96/488, T 198656, FPS 175, 50-training-episode: mean/median 24.6/19.6, min/max -58.3/105.3
Update 97/488, T 200704, FPS 175, 50-training-episode: mean/median 29.9/90.8, min/max -56.7/105.3
Update 98/488, T 202752, FPS 174, 50-training-episode: mean/median 25.9/85.1, min/max -59.7/102.1
Update 99/488, T 204800, FPS 174, 50-training-episode: mean/median 20.5/-40.3, min/max -59.7/103.2
Saved ./trained_models/ExptMemory20250720/plume_20250720_VRNN_constantx5b5noisy3x5b5_stepoob_bx0.30.8_t10000004000000_q2.00.5_dmx0.80.8_dmn0.70.4_h64_wd0.0001_n1_codeVRNN_seed21972cc.pt
Update 100/488, T 206848, FPS 174, 50-training-episode: mean/median 8.2/-46.1, min/max -60.8/103.2
Update 101/488, T 208896, FPS 174, 50-training-episode: mean/median 15.0/-45.3, min/max -60.8/105.8
Update 102/488, T 210944, FPS 174, 50-training-episode: mean/median 41.3/92.8, min/max -59.6/105.6
Update 103/488, T 212992, FPS 174, 50-training-episode: mean/median 22.7/22.5, min/max -63.1/107.6
Update 104/488, T 215040, FPS 174, 50-training-episode: mean/median 25.7/88.0, min/max -63.1/105.4
Update 105/488, T 217088, FPS 174, 50-training-episode: mean/median 26.4/88.0, min/max -60.2/105.4
Update 106/488, T 219136, FPS 174, 50-training-episode: mean/median 5.1/-47.3, min/max -61.9/104.4
Update 107/488, T 221184, FPS 173, 50-training-episode: mean/median 7.6/-48.3, min/max -64.2/107.0
Update 108/488, T 223232, FPS 173, 50-training-episode: mean/median 7.1/-49.3, min/max -64.2/107.0
Update 109/488, T 225280, FPS 174, 50-training-episode: mean/median 36.6/91.4, min/max -62.1/105.9
Update 110/488, T 227328, FPS 174, 50-training-episode: mean/median 38.4/92.3, min/max -64.4/104.7
Update 111/488, T 229376, FPS 174, 50-training-episode: mean/median 33.8/91.8, min/max -66.0/104.7
Update 112/488, T 231424, FPS 174, 50-training-episode: mean/median 64.6/97.8, min/max -66.0/104.9
