Update 64/488, T 133120, FPS 181, 50-training-episode: mean/median 22.5/82.5, min/max -78.7/106.6
Update 65/488, T 135168, FPS 181, 50-training-episode: mean/median 11.9/-54.9, min/max -72.9/104.7
Update 66/488, T 137216, FPS 181, 50-training-episode: mean/median 18.0/80.5, min/max -74.5/104.2
Update 67/488, T 139264, FPS 181, 50-training-episode: mean/median 8.4/-55.1, min/max -74.5/104.2
Update 68/488, T 141312, FPS 181, 50-training-episode: mean/median 10.9/-51.6, min/max -76.2/106.1
Update 69/488, T 143360, FPS 181, 50-training-episode: mean/median 15.9/17.0, min/max -76.2/106.1
Update 70/488, T 145408, FPS 181, 50-training-episode: mean/median 7.0/-53.6, min/max -76.2/106.1
Update 71/488, T 147456, FPS 181, 50-training-episode: mean/median 25.6/82.9, min/max -72.6/106.8
Update 72/488, T 149504, FPS 181, 50-training-episode: mean/median 37.3/86.2, min/max -79.6/108.0
Update 73/488, T 151552, FPS 180, 50-training-episode: mean/median 43.8/89.4, min/max -83.3/108.0
Update 74/488, T 153600, FPS 180, 50-training-episode: mean/median 40.8/89.7, min/max -83.3/105.8
Update 75/488, T 155648, FPS 180, 50-training-episode: mean/median 29.7/86.8, min/max -83.3/108.0
Update 76/488, T 157696, FPS 180, 50-training-episode: mean/median 44.6/94.8, min/max -68.9/108.0
Update 77/488, T 159744, FPS 180, 50-training-episode: mean/median 43.3/95.0, min/max -80.8/109.6
Update 78/488, T 161792, FPS 181, 50-training-episode: mean/median 39.8/92.3, min/max -80.8/109.6
Update 79/488, T 163840, FPS 181, 50-training-episode: mean/median 19.1/80.0, min/max -80.8/106.4
Update 80/488, T 165888, FPS 180, 50-training-episode: mean/median 25.7/84.1, min/max -70.3/107.9
Update 81/488, T 167936, FPS 180, 50-training-episode: mean/median 35.0/89.6, min/max -79.8/107.9
Update 82/488, T 169984, FPS 180, 50-training-episode: mean/median 32.0/90.2, min/max -79.8/107.2
Update 83/488, T 172032, FPS 181, 50-training-episode: mean/median 25.5/88.1, min/max -79.8/107.2
Update 84/488, T 174080, FPS 181, 50-training-episode: mean/median 35.1/91.6, min/max -77.8/107.4
Update 85/488, T 176128, FPS 181, 50-training-episode: mean/median 40.3/88.9, min/max -81.2/108.4
Update 86/488, T 178176, FPS 181, 50-training-episode: mean/median 35.7/87.5, min/max -81.2/108.4
Update 87/488, T 180224, FPS 181, 50-training-episode: mean/median 18.6/82.3, min/max -81.3/108.4
Update 88/488, T 182272, FPS 181, 50-training-episode: mean/median 11.3/6.7, min/max -85.5/105.7
Update 89/488, T 184320, FPS 181, 50-training-episode: mean/median 0.3/-61.2, min/max -89.0/109.0
Update 90/488, T 186368, FPS 180, 50-training-episode: mean/median 11.0/11.4, min/max -92.8/109.0
